Distribution,Parameters,Method,IMSE
f,"[5, 8]",MKDE,0.004430103795356252
f,"[5, 8]",DDE,0.004593174541557929
f,"[5, 8]",AKDE,0.006844373078778638
f,"[10, 14]",MKDE,0.00324997308166348
f,"[10, 14]",DDE,0.0029982319497538984
f,"[10, 14]",AKDE,0.005367648246508385
f,"[20, 20]",MKDE,0.0017925055227090022
f,"[20, 20]",DDE,0.0013201272249255393
f,"[20, 20]",AKDE,0.0039009458522427866
beta,"[1.3, 2.5]",MKDE,0.057659141325546975
beta,"[1.3, 2.5]",DDE,0.06250800056434548
beta,"[1.3, 2.5]",AKDE,0.11358941140424475
beta,"[2.0, 5.0]",MKDE,0.061184676436089616
beta,"[2.0, 5.0]",DDE,0.07672542608343738
beta,"[2.0, 5.0]",AKDE,0.2079769918722765
beta,"[0.5, 0.5]",MKDE,0.1854617275311711
beta,"[0.5, 0.5]",DDE,0.18405695393759952
beta,"[0.5, 0.5]",AKDE,0.2069852738025811
bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",MKDE,0.0038336404840354104
bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",DDE,0.003562445196402238
bimodal,"[-2.0, 1.5, 0.6, 0.4, 0.6]",AKDE,0.0031674141704418246
bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",MKDE,0.002892443504679572
bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",DDE,0.0026569837019786986
bimodal,"[-2.0, 2.5, 0.6, 0.6, 0.5]",AKDE,0.002267901359644796
bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",MKDE,0.0035529518718224185
bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",DDE,0.003190101582447487
bimodal,"[-1.0, 1.0, 0.5, 0.5, 0.7]",AKDE,0.002917559458717201
